Name,Price
"Monitor Gamer LG 24MS500-B, 24 Pol, IPS, FHD, 5ms, 100Hz, HDMI, 24MS500-B","R$ 719,99"
"Monitor Gamer Gigabyte GS27QA, 27 Pol, IPS, QHD, 1ms, 180Hz, HDMI/DP, GS27QA","R$ 1.959,99"
"Monitor Gamer Gigabyte GS27FA, 27 Pol, IPS, FHD, 1ms, 180Hz, HDMI/DP, GS27FA","R$ 1.389,99"
"Monitor Gamer Gigabyte GS34WQC, 34 Pol, Curvo, VA, WQHD, 1ms, 120Hz, DP/HDMI, GS34WQC","R$ 2.569,99"
"Monitor Gamer Samsung Odyssey G3, 27 Pol, VA, FHD, 1ms, 180Hz, FreeSync, HDMI/DP, LS27DG300ELXZD","R$ 1.049,99"
"Monitor Gamer Duex DXMO238F75, 23.8 Pol, IPS, FHD, 1ms, 75Hz, FreeSync, HDMI/VGA, DXMO238F75","R$ 559,99"
"Monitor Gamer Duex DX270ZG, 27 Pol, Curvo, VA, FHD, 1ms, 240Hz, FreeSync, HDMI/DP, DX270ZG","R$ 959,99"
"Monitor Gamer AOC 27G2S, 27 Pol, VA, FHD, 1ms, 165Hz, FreeSync Premium, HDMI/DP, 27G2S-BK","R$ 949,99"
"Monitor Gamer Gigabyte GS32Q, 31.5 Pol, IPS, QHD, 1ms, 165Hz, DP/HDMI, GS32Q","R$ 2.099,99"
"Monitor Gamer Asus ROG Swift PG42UQ, 41.5 Pol, OLED, 4K UHD, 0.1ms, 138Hz, G-Sync, HDMI/DP, PG42UQ","R$ 9.599,99"
"Monitor Gamer AOC Agon Pro Porsche Design, 31.5 Pol, Mini Led, 4K, UHD, 1ms, 144Hz, HDMI/DP, PD32M","R$ 9.499,99"
"Monitor Gamer Acer Nitro ED340CU, 34 Pol, Curvo, QHD, 1ms, 100Hz, DP/HDMI, UM.CE0AA.H01","R$ 2.399,99"
"Monitor PCTop, 15.4 Pol, 5ms, 60Hz, VGA/HDMI, MLP154HDMI","R$ 299,99"
"Monitor Gamer Gigabyte GS27QC, 27 Pol, VA, QHD, 1ms, 165Hz, DP/HDMI, GS27QC","R$ 1.629,99"
"Monitor Gamer Gigabyte GS32QC, 32 Pol, Curvo, VA, QHD, 1ms, 165Hz, DP/HDMI, GS32QC","R$ 1.999,99"
"Monitor Gamer Redragon Surtr, 27 Pol, IPS, FHD, 1ms, 165Hz, FreeSync, HDMI/DP, GM27A2G-W","R$ 1.359,99"
"Monitor Gamer Duex DX270ZHK, 27 Pol IPS, FHD, 1ms, 165Hz, FreeSync, HDMI/DP, DX270ZHK","R$ 829,99"
